Fold,RMSE,MAE,MASE,SMAPE
1,7.425905812153432,6.8859976955470374,4.46102840741419,35.7489346507163
2,3.7909633396978153,3.1246099618691385,1.9893526921917264,18.92693828850985
3,5.551257275712344,4.8651641894795965,3.3879123276802705,35.13794410529359
4,2.182097546628101,1.753430152328025,1.2810846540368772,18.16444063193491
5,3.0202228174497523,2.812880614971601,2.222612921156317,34.61226692972554
6,1.9304568552657893,1.5544131063306375,1.306279625043782,15.769321695038204
7,2.0271575647413558,1.6005806035339356,1.4260938291444916,17.27755415060753
8,2.038145964621746,1.6356301675103069,1.52651821278223,14.955360754588568
9,3.675702202947637,3.293770950253604,3.1903527865311863,34.45405398125547
10,1.4562141406508966,1.0952876083798968,1.0780623694194753,16.663453421280273
