Tabela 1;;;;;;;
GRU;RMSE;MAE;MAPE;sMAPE;MASE;U;R2
1;0,948;0,764;9,4;9,1;0,735;0,073;0,85
2;0,912;0,744;9,06;8,85;0,715;0,07;0,861
3;0,999;0,805;9,84;9,55;0,774;0,077;0,833
4;0,942;0,764;9,44;9,12;0,735;0,072;0,851
5;0,972;0,785;9,45;9,32;0,755;0,075;0,842
6;0,934;0,758;9,21;9;0,729;0,072;0,854
7;0,942;0,77;9,46;9,16;0,74;0,073;0,851
8;0,952;0,773;9,29;9,16;0,743;0,074;0,848
9;0,95;0,771;9,46;9,15;0,741;0,073;0,849
10;0,932;0,755;9,25;8,98;0,726;0,072;0,854
Mean;0,948;0,769;9,386;9,139;0,739;0,073;0,849
SD;0,024;0,017;0,208;0,192;0,016;0,002;0,008
