Fold,RMSE,MAE,MASE,SMAPE
1,4.911729219260753,3.9115405082702637,2.6637733,23.687352240085602
2,2.481867838695284,1.9626188278198242,1.3802618,11.597544699907303
3,1.4056151758565594,1.1146494150161743,0.79407734,10.278058052062988
4,0.9444075737718562,0.7941396236419678,0.6002219,8.95267054438591
5,0.9489580589207498,0.7372229695320129,0.60195273,7.744169980287552
6,0.86325967338836,0.6450833082199097,0.5594574,6.496873497962952
7,1.14931636061236,0.8928801417350769,0.8237883,9.479081630706787
8,0.8756303219902374,0.7068434357643127,0.6817883,6.967349350452423
9,1.1070692251041343,0.9061122536659241,0.9032718,10.804159939289093
10,0.815220057787197,0.6802574992179871,0.6864806,10.420303791761398
