Fold,RMSE,MAE,MASE,SMAPE
1,8.966044442508482,7.526119003971606,4.875724936127781,37.69454697159316
2,8.758866045142092,7.63894643312301,4.863505793584259,56.36892837760108
3,2.9647557813431678,2.449308315548244,1.7056036576276978,20.561759040585173
4,1.4880415893853112,1.2565139922094564,0.9180296066341457,13.781194029954216
5,2.6080682446053665,2.25193890645517,1.77938177841665,27.363515161911696
6,3.5190079210559055,2.876791389992028,2.417564521904275,32.83218090836063
7,3.657275377322666,2.9772177672151057,2.6526573397618862,35.407484081409294
8,3.937159052073544,3.530034216793352,3.2945476494126535,29.4464941394539
9,4.595536775232153,4.176608342816123,4.04547075859263,41.01866945372617
10,0.9704644717822428,0.7592700234578481,0.7473292259088905,11.737555062021423
