Tabela 1;;;;;;;
MLP;RMSE;MAE;MAPE;sMAPE;MASE;U;R2
1;0,863;0,706;8,77;8,49;0,679;0,067;0,875
2;0,902;0,745;9,13;8,95;0,716;0,069;0,864
3;0,932;0,77;9,5;9,26;0,74;0,072;0,854
4;0,875;0,71;8,85;8,56;0,683;0,067;0,865
5;0,909;0,741;9,07;8,85;0,713;0,7;0,862
6;1,041;0,847;10,52;10,16;0,814;0,08;0,818
7;0,957;0,785;9,87;9,56;0,755;0,074;0,847
8;0,914;0,765;9,42;9,18;0,735;0,071;0,86
9;0,951;0,789;9,81;9,52;0,759;0,073;0,848
10;0,905;0,753;9,19;9;0,724;0,07;0,863
Mean;0,925;0,761;9,413;9,153;0,732;0,134;0,856
SD;0,050;0,041;0,535;0,503;0,039;0,199;0,016
