Fold,RMSE,MAE,MASE,SMAPE
1,6.691269427235131,5.043973922729492,3.4349644,28.909873962402344
2,2.0524503763684114,1.7381073236465454,1.2223684,10.2730892598629
3,1.8357891266300177,1.4980506896972656,1.0672128,13.9789879322052
4,1.4664297241218087,1.1836521625518799,0.8946209,13.685059547424316
5,0.9052951978847911,0.7485997676849365,0.61124206,7.779887318611145
6,0.8753698452922087,0.6948755383491516,0.60264045,7.0228710770606995
7,0.8363362724837403,0.6640512347221375,0.61266637,6.889611482620239
8,0.8532807400137316,0.676910400390625,0.6529163,6.534207612276077
9,1.0148678231265702,0.8591535687446594,0.85646033,10.707781463861465
10,0.8003586933548714,0.6594703793525696,0.6655033,10.014839470386505
