Model A,Model B,W statistic,Raw p-value,Holm-adjusted p-value,Significant
ARIMA,HW,15.0,0.232421875,0.966796875,False
ARIMA,SARIMA,17.0,0.322265625,0.966796875,False
ARIMA,RNN,0.0,0.001953125,0.029296875,True
ARIMA,MLP,0.0,0.001953125,0.029296875,True
ARIMA,GRU,0.0,0.001953125,0.029296875,True
HW,SARIMA,19.0,0.431640625,0.966796875,False
HW,RNN,0.0,0.001953125,0.029296875,True
HW,MLP,0.0,0.001953125,0.029296875,True
HW,GRU,0.0,0.001953125,0.029296875,True
SARIMA,RNN,0.0,0.001953125,0.029296875,True
SARIMA,MLP,0.0,0.001953125,0.029296875,True
SARIMA,GRU,0.0,0.001953125,0.029296875,True
RNN,MLP,9.0,0.064453125,0.38671875,False
RNN,GRU,14.0,0.193359375,0.966796875,False
MLP,GRU,22.0,0.625,0.966796875,False
