Model A,Model B,W statistic,Raw p-value,Holm-adjusted p-value,Significant
ARIMA,HW,15.0,0.232421875,1.0,False
ARIMA,SARIMA,16.0,0.275390625,1.0,False
ARIMA,RNN,1.0,0.00390625,0.029296875,True
ARIMA,MLP,0.0,0.001953125,0.029296875,True
ARIMA,GRU,0.0,0.001953125,0.029296875,True
HW,SARIMA,19.0,0.431640625,1.0,False
HW,RNN,0.0,0.001953125,0.029296875,True
HW,MLP,0.0,0.001953125,0.029296875,True
HW,GRU,0.0,0.001953125,0.029296875,True
SARIMA,RNN,0.0,0.001953125,0.029296875,True
SARIMA,MLP,0.0,0.001953125,0.029296875,True
SARIMA,GRU,0.0,0.001953125,0.029296875,True
RNN,MLP,9.0,0.064453125,0.38671875,False
RNN,GRU,15.0,0.232421875,1.0,False
MLP,GRU,23.0,0.6953125,1.0,False
