Model A,Model B,W statistic,Raw p-value,Holm-adjusted p-value,Significant
ARIMA,HW,15.0,0.232421875,0.9296875,False
ARIMA,SARIMA,18.0,0.375,1.0,False
ARIMA,RNN,0.0,0.001953125,0.029296875,True
ARIMA,MLP,0.0,0.001953125,0.029296875,True
ARIMA,GRU,0.0,0.001953125,0.029296875,True
HW,SARIMA,19.0,0.431640625,1.0,False
HW,RNN,0.0,0.001953125,0.029296875,True
HW,MLP,0.0,0.001953125,0.029296875,True
HW,GRU,0.0,0.001953125,0.029296875,True
SARIMA,RNN,0.0,0.001953125,0.029296875,True
SARIMA,MLP,0.0,0.001953125,0.029296875,True
SARIMA,GRU,0.0,0.001953125,0.029296875,True
RNN,MLP,10.0,0.083984375,0.50390625,False
RNN,GRU,10.0,0.083984375,0.50390625,False
MLP,GRU,27.0,1.0,1.0,False
